"Nicolette Boele, IND",Independent
"David Briden, Labor",
"Martin Cousins, Green",
"Janine Kitson, Independent",
"Robb Fletcher, United Australia Party",
"Paul Fletcher, Liberal Party",
"Michael Lowe, One Nation",
